Player,Salary,Season,PTS,AST,REB,TOV,IntegrationMethod,Source
kevin garnett,19600000.0,2001,1784.0,401.0,921.0,230.0,Exact,both
shaquille o'neal,19285000.0,2001,2125.0,277.0,940.0,218.0,Exact,both
alonzo mourning,16879000.0,2001,177.0,12.0,101.0,28.0,Exact,both
juwan howard,16875000.0,2001,1462.0,224.0,572.0,242.0,Exact,both
juwan howard,16875000.0,2001,481.0,70.0,193.0,73.0,Exact,both
juwan howard,16875000.0,2001,981.0,154.0,379.0,169.0,Exact,both
hakeem olajuwon,16685000.0,2001,689.0,72.0,431.0,81.0,Exact,both
karl malone,15750000.0,2001,1878.0,361.0,669.0,244.0,Exact,both
dikembe mutombo,14422000.0,2001,749.0,76.0,1015.0,144.0,Exact,both
dikembe mutombo,14422000.0,2001,304.0,22.0,322.0,52.0,Exact,both
dikembe mutombo,14422000.0,2001,445.0,54.0,693.0,92.0,Exact,both
patrick ewing,14000000.0,2001,760.0,92.0,585.0,151.0,Exact,both
david robinson,13196000.0,2001,1151.0,116.0,691.0,122.0,Exact,both
scottie pippen,13151000.0,2001,721.0,294.0,333.0,154.0,Exact,both
rasheed wallace,12600000.0,2001,1477.0,212.0,602.0,158.0,Exact,both
larry johnson,12485000.0,2001,645.0,127.0,363.0,97.0,Exact,both
gary payton,12200000.0,2001,1823.0,642.0,361.0,209.0,Exact,both
tim hardaway,12000000.0,2001,1150.0,483.0,204.0,189.0,Exact,both
chris webber,12000000.0,2001,1898.0,294.0,777.0,195.0,Exact,both
shawn kemp,11720000.0,2001,441.0,65.0,259.0,99.0,Exact,both
damon stoudamire,11250000.0,2001,1066.0,468.0,303.0,191.0,Exact,both
john stockton,11000000.0,2001,944.0,713.0,227.0,203.0,Exact,both
antonio mcdyess,10800000.0,2001,1458.0,146.0,845.0,162.0,Exact,both
reggie miller,10666000.0,2001,1527.0,260.0,285.0,133.0,Exact,both
arvydas sabonis,10636000.0,2001,616.0,91.0,331.0,85.0,Exact,both
zydrunas ilgauskas,10130000.0,2001,281.0,18.0,160.0,60.0,Exact,both
anfernee hardaway,10130000.0,2001,39.0,15.0,18.0,3.0,Exact,both
stephon marbury,10130000.0,2001,1598.0,506.0,205.0,197.0,Exact,both
antoine walker,10125000.0,2001,1892.0,445.0,719.0,301.0,Exact,both
shareef abdur-rahim,10125000.0,2001,1663.0,250.0,735.0,231.0,Exact,both
allen iverson,10125000.0,2001,2207.0,325.0,273.0,237.0,Exact,both
latrell sprewell,10125000.0,2001,1364.0,269.0,347.0,218.0,Exact,both
vin baker,10125000.0,2001,927.0,90.0,430.0,158.0,Exact,both
ray allen,10125000.0,2001,1806.0,374.0,428.0,204.0,Exact,both
kobe bryant,10125000.0,2001,1938.0,338.0,399.0,220.0,Exact,both
bryant reeves,10110000.0,2001,622.0,80.0,452.0,90.0,Exact,both
tracy mcgrady,9658000.0,2001,2065.0,352.0,580.0,198.0,Exact,both
tim duncan,9658000.0,2001,1820.0,245.0,997.0,242.0,Exact,both
jalen rose,9658000.0,2001,1478.0,435.0,359.0,211.0,Exact,both
grant hill,9658000.0,2001,55.0,25.0,25.0,11.0,Exact,both
vlade divac,9641000.0,2001,974.0,231.0,673.0,192.0,Exact,both
tom gugliotta,9336000.0,2001,362.0,55.0,255.0,51.0,Exact,both
allan houston,9000000.0,2001,1459.0,173.0,283.0,161.0,Exact,both
keith van horn,9000000.0,2001,831.0,82.0,347.0,103.0,Exact,both
eddie jones,8960000.0,2001,1094.0,171.0,292.0,135.0,Exact,both
brian grant,8897000.0,2001,1250.0,101.0,718.0,170.0,Exact,both
tim thomas,8507000.0,2001,954.0,138.0,313.0,114.0,Exact,both
michael finley,8400000.0,2001,1765.0,360.0,425.0,190.0,Exact,both
shawn bradley,8370000.0,2001,579.0,38.0,608.0,88.0,Exact,both
terrell brandon,8325000.0,2001,1250.0,583.0,298.0,155.0,Exact,both
nick van exel,8184000.0,2001,1259.0,600.0,241.0,165.0,Exact,both
glenn robinson,8120000.0,2001,1674.0,252.0,526.0,219.0,Exact,both
elden campbell,8050000.0,2001,1022.0,104.0,608.0,144.0,Exact,both
derrick coleman,8040000.0,2001,277.0,39.0,184.0,42.0,Exact,both
avery johnson,8000000.0,2001,310.0,237.0,85.0,60.0,Exact,both
horace grant,7843000.0,2001,657.0,121.0,545.0,48.0,Exact,both
theo ratliff,7800000.0,2001,621.0,58.0,413.0,126.0,Exact,both
jason kidd,7630000.0,2001,1299.0,753.0,494.0,286.0,Exact,both
glen rice,7578000.0,2001,899.0,89.0,307.0,96.0,Exact,both
