Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
james harden,50277018.0,2021.0,198.0,83.0,41.0,34.0,8.0,Exact,both
kevin durant,46779742.0,2023.0,208.0,28.0,51.0,20.0,8.0,Exact,both
blake griffin,41313933.0,2021.0,260.0,63.0,121.0,30.0,26.0,Exact,both
blake griffin,41313933.0,2021.0,245.0,77.0,104.0,32.0,20.0,Exact,both
stephen curry,40231758.0,2020.0,104.0,33.0,26.0,16.0,5.0,Exact,both
kemba walker,39528872.0,2023.0,72.0,19.0,16.0,4.0,9.0,Exact,both
ben simmons,39019371.0,2024.0,92.0,86.0,119.0,27.0,15.0,Exact,both
kevin love,38094169.0,2021.0,305.0,63.0,186.0,38.0,25.0,Exact,both
ben simmons,37585801.0,2023.0,291.0,256.0,263.0,97.0,42.0,Exact,both
nikola jokic,35040189.0,2023.0,82.0,10.0,31.0,10.0,15.0,Fuzzy,both
andre drummond,35039540.0,2021.0,250.0,30.0,214.0,43.0,21.0,Exact,both
ja morant,35015681.0,2024.0,226.0,73.0,50.0,27.0,9.0,Exact,both
otto porter,34719592.0,2021.0,271.0,55.0,152.0,25.0,28.0,Fuzzy,both
otto porter,34719592.0,2021.0,24.0,5.0,14.0,0.0,3.0,Fuzzy,both
otto porter,34719592.0,2021.0,247.0,50.0,138.0,25.0,25.0,Fuzzy,both
blake griffin,34449964.0,2020.0,279.0,59.0,84.0,40.0,18.0,Exact,both
gordon hayward,34309448.0,2024.0,138.0,42.0,64.0,15.0,26.0,Exact,both
dangelo russell,33269452.0,2023.0,296.0,103.0,50.0,39.0,17.0,Exact,both
kevin love,32399186.0,2023.0,162.0,40.0,119.0,23.0,21.0,Exact,both
kyle lowry,30564525.0,2024.0,184.0,106.0,65.0,32.0,23.0,Exact,both
kyle lowry,30564525.0,2024.0,303.0,147.0,129.0,53.0,37.0,Exact,both
kobe bryant,30453805.0,2014.0,83.0,38.0,26.0,34.0,6.0,Exact,both
gordon hayward,29727900.0,2018.0,2.0,0.0,1.0,0.0,1.0,Exact,both
mike conley,28530608.0,2018.0,205.0,49.0,27.0,18.0,12.0,Exact,both
andrew wiggins,27504630.0,2020.0,233.0,43.0,55.0,25.0,12.0,Exact,both
dangelo russell,27285000.0,2020.0,260.0,79.0,55.0,46.0,12.0,Exact,both
otto porter jr,27250575.0,2020.0,167.0,25.0,48.0,11.0,14.0,Exact,both
andre drummond,27093019.0,2020.0,140.0,14.0,89.0,29.0,8.0,Exact,both
otto porter jr,26011913.0,2019.0,262.0,40.0,83.0,25.0,15.0,Exact,both
victor oladipo,25592520.0,2021.0,48.0,14.0,14.0,14.0,4.0,Exact,both
victor oladipo,25592520.0,2021.0,180.0,38.0,51.0,18.0,9.0,Exact,both
nicolas batum,25565217.0,2020.0,79.0,66.0,100.0,22.0,22.0,Exact,both
chandler parsons,25102511.0,2020.0,14.0,3.0,7.0,3.0,5.0,Exact,both
marc gasol,24119025.0,2019.0,237.0,101.0,172.0,36.0,26.0,Exact,both
chandler parsons,24107258.0,2019.0,187.0,43.0,70.0,32.0,25.0,Exact,both
gary harris,23899409.0,2021.0,204.0,46.0,32.0,23.0,20.0,Exact,both
gary harris,23899409.0,2021.0,184.0,32.0,47.0,14.0,19.0,Exact,both
chandler parsons,23112004.0,2018.0,284.0,69.0,90.0,35.0,36.0,Exact,both
deandre jordan,22897200.0,2019.0,207.0,57.0,216.0,42.0,19.0,Exact,both
tracy mcgrady,22843124.0,2010.0,19.0,6.0,5.0,1.0,6.0,Exact,both
tracy mcgrady,22843124.0,2010.0,226.0,93.0,89.0,43.0,24.0,Exact,both
tracy mcgrady,22843124.0,2010.0,245.0,99.0,94.0,44.0,30.0,Exact,both
goran dragic,22374060.0,2022.0,40.0,9.0,14.0,1.0,5.0,Exact,both
goran dragic,22374060.0,2022.0,117.0,77.0,51.0,33.0,16.0,Exact,both
goran dragic,22374060.0,2022.0,157.0,86.0,65.0,34.0,21.0,Exact,both
chandler parsons,22116750.0,2017.0,210.0,55.0,84.0,24.0,34.0,Exact,both
aaron gordon,22102631.0,2021.0,254.0,56.0,118.0,30.0,25.0,Exact,both
lamarcus aldridge,21483506.0,2021.0,288.0,36.0,94.0,20.0,21.0,Exact,both
lamarcus aldridge,21483506.0,2021.0,64.0,13.0,24.0,7.0,5.0,Exact,both
gorgui dieng,21433964.0,2021.0,85.0,19.0,42.0,10.0,16.0,Exact,both
gorgui dieng,21433964.0,2021.0,258.0,48.0,140.0,32.0,38.0,Exact,both
gorgui dieng,21433964.0,2021.0,173.0,29.0,98.0,22.0,22.0,Exact,both
domantas sabonis,21392429.0,2022.0,283.0,87.0,185.0,52.0,15.0,Exact,both
rashard lewis,21136631.0,2012.0,217.0,27.0,109.0,32.0,28.0,Exact,both
spencer dinwiddie,21018311.0,2024.0,191.0,68.0,47.0,29.0,28.0,Exact,both
victor oladipo,21000000.0,2020.0,275.0,56.0,75.0,47.0,19.0,Exact,both
evan fournier,20900558.0,2021.0,208.0,49.0,53.0,19.0,16.0,Exact,both
stephon marbury,20840625.0,2009.0,88.0,75.0,28.0,37.0,23.0,Exact,both
allen iverson,20840625.0,2009.0,56.0,20.0,8.0,10.0,3.0,Exact,both
eric gordon,20748097.0,2023.0,241.0,47.0,37.0,21.0,22.0,Exact,both
bojan bogdanovic,20594279.0,2024.0,303.0,26.0,58.0,38.0,29.0,Fuzzy,both
danilo gallinari,20559599.0,2018.0,321.0,41.0,101.0,26.0,21.0,Exact,both
joe harris,20520727.0,2024.0,39.0,10.0,13.0,4.0,16.0,Exact,both
jimmy butler,20445779.0,2019.0,213.0,43.0,52.0,14.0,10.0,Exact,both
ryan anderson,20421546.0,2019.0,63.0,19.0,54.0,14.0,25.0,Exact,both
ryan anderson,20421546.0,2019.0,56.0,17.0,45.0,12.0,15.0,Exact,both
ryan anderson,20421546.0,2019.0,7.0,2.0,9.0,2.0,10.0,Exact,both
caris levert,20236081.0,2022.0,258.0,75.0,64.0,33.0,19.0,Exact,both
joe harris,20070889.0,2022.0,158.0,14.0,56.0,16.0,14.0,Exact,both
caris levert,19747315.0,2021.0,222.0,72.0,52.0,26.0,12.0,Exact,both
jason kidd,19728000.0,2008.0,287.0,276.0,188.0,81.0,29.0,Exact,both
dikembe mutombo,19684000.0,2005.0,322.0,10.0,426.0,51.0,80.0,Exact,both
rashard lewis,19573711.0,2011.0,304.0,29.0,106.0,35.0,25.0,Exact,both
james johnson,19556463.0,2021.0,166.0,50.0,86.0,27.0,29.0,Exact,both
james johnson,19556463.0,2021.0,202.0,48.0,91.0,28.0,22.0,Exact,both
evan fournier,19417463.0,2024.0,12.0,3.0,4.0,1.0,3.0,Exact,both
evan fournier,19417463.0,2024.0,208.0,45.0,54.0,20.0,29.0,Exact,both
evan fournier,19417463.0,2024.0,220.0,48.0,58.0,21.0,32.0,Exact,both
tyler johnson,19356932.0,2019.0,144.0,54.0,52.0,14.0,13.0,Exact,both
kent bazemore,19269662.0,2020.0,257.0,32.0,122.0,31.0,25.0,Exact,both
bogdan bogdanovic,19255651.0,2024.0,303.0,26.0,58.0,38.0,29.0,Fuzzy,both
tim hardaway jr,19200127.0,2019.0,294.0,37.0,61.0,24.0,19.0,Exact,both
marcus smart,19135908.0,2024.0,289.0,86.0,53.0,62.0,20.0,Exact,both
evan fournier,19085184.0,2023.0,165.0,36.0,49.0,22.0,27.0,Exact,both
markelle fultz,19079734.0,2022.0,195.0,99.0,49.0,40.0,18.0,Exact,both
george hill,19000000.0,2018.0,226.0,67.0,64.0,28.0,24.0,Exact,both
jeff teague,19000000.0,2020.0,193.0,100.0,54.0,40.0,25.0,Exact,both
george hill,19000000.0,2019.0,140.0,36.0,27.0,20.0,13.0,Exact,both
george hill,19000000.0,2019.0,318.0,99.0,121.0,31.0,47.0,Exact,both
kawhi leonard,18868626.0,2018.0,146.0,21.0,42.0,16.0,9.0,Exact,both
evan turner,18606556.0,2020.0,62.0,38.0,38.0,26.0,19.0,Exact,both
joakim noah,18530000.0,2018.0,12.0,4.0,14.0,4.0,7.0,Exact,both
davis bertans,18501560.0,2022.0,117.0,15.0,56.0,5.0,22.0,Exact,both
davis bertans,18501560.0,2022.0,311.0,31.0,117.0,19.0,56.0,Exact,both
davis bertans,18501560.0,2022.0,194.0,16.0,61.0,14.0,34.0,Exact,both
allen crabbe,18500000.0,2020.0,172.0,33.0,77.0,17.0,37.0,Exact,both
allen crabbe,18500000.0,2020.0,29.0,5.0,12.0,5.0,9.0,Exact,both
allen crabbe,18500000.0,2020.0,143.0,28.0,65.0,12.0,28.0,Exact,both
jonathan isaac,18449011.0,2023.0,55.0,6.0,44.0,4.0,11.0,Exact,both
michael redd,18300000.0,2011.0,44.0,12.0,8.0,4.0,10.0,Exact,both
andre iguodala,18280371.0,2021.0,275.0,142.0,221.0,67.0,63.0,Exact,both
marcus morris,18135610.0,2024.0,316.0,36.0,134.0,30.0,49.0,Fuzzy,both
marcus morris,18135610.0,2024.0,247.0,26.0,109.0,19.0,37.0,Fuzzy,both
marcus morris,18135610.0,2024.0,69.0,10.0,25.0,11.0,12.0,Fuzzy,both
derrick white,18129876.0,2022.0,286.0,92.0,88.0,32.0,26.0,Exact,both
rasheed wallace,18000000.0,2004.0,302.0,40.0,155.0,29.0,22.0,Exact,both
rasheed wallace,18000000.0,2004.0,20.0,2.0,6.0,3.0,1.0,Exact,both
norman powell,17943324.0,2022.0,107.0,14.0,14.0,7.0,5.0,Exact,both
duncan robinson,17920987.0,2023.0,268.0,46.0,69.0,28.0,42.0,Exact,both
yao ming,17686100.0,2011.0,51.0,4.0,27.0,7.0,5.0,Exact,both
derrick rose,17632688.0,2014.0,159.0,43.0,32.0,34.0,10.0,Exact,both
allan houston,17531000.0,2005.0,237.0,42.0,23.0,21.0,20.0,Exact,both
davis bertans,17505137.0,2024.0,44.0,9.0,10.0,1.0,15.0,Exact,both
davis bertans,17505137.0,2024.0,246.0,26.0,51.0,17.0,28.0,Exact,both
davis bertans,17505137.0,2024.0,290.0,35.0,61.0,18.0,43.0,Exact,both
tristan thompson,17469565.0,2018.0,307.0,33.0,352.0,36.0,53.0,Exact,both
luol deng,17190000.0,2018.0,2.0,1.0,0.0,1.0,1.0,Exact,both
andre iguodala,17185185.0,2020.0,96.0,51.0,78.0,26.0,21.0,Exact,both
michael redd,17040000.0,2010.0,215.0,39.0,54.0,15.0,18.0,Exact,both
joakim noah,17000000.0,2017.0,232.0,103.0,403.0,58.0,46.0,Exact,both
bismack biyombo,17000000.0,2019.0,236.0,33.0,247.0,34.0,54.0,Exact,both
davis bertans,16964608.0,2023.0,206.0,21.0,53.0,10.0,45.0,Exact,both
alonzo mourning,16879000.0,2001.0,177.0,12.0,101.0,28.0,13.0,Exact,both
malik beasley,16495997.0,2023.0,289.0,31.0,86.0,30.0,26.0,Exact,both
shawn marion,16440000.0,2008.0,229.0,40.0,179.0,37.0,16.0,Exact,both
thaddeus young,16408571.0,2022.0,164.0,45.0,115.0,22.0,26.0,Exact,both
thaddeus young,16408571.0,2022.0,322.0,104.0,208.0,52.0,52.0,Exact,both
thaddeus young,16408571.0,2022.0,158.0,59.0,93.0,30.0,26.0,Exact,both
patrick beverley,16249218.0,2021.0,278.0,76.0,119.0,34.0,37.0,Exact,both
