Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
paul pierce,2051000.0,2002.0,2144.0,261.0,566.0,241.0,82.0,Exact,both
nikola jovic,2421887.0,2024.0,2085.0,708.0,976.0,237.0,79.0,Fuzzy,both
paul pierce,1608000.0,2001.0,2071.0,253.0,522.0,262.0,82.0,Exact,both
vince carter,2425000.0,2001.0,2070.0,291.0,416.0,167.0,75.0,Exact,both
paul pierce,2793000.0,2003.0,2048.0,349.0,578.0,288.0,79.0,Exact,both
antawn jamison,2678000.0,2001.0,2044.0,164.0,715.0,199.0,82.0,Exact,both
dirk nowitzki,1693000.0,2001.0,1784.0,173.0,754.0,156.0,82.0,Exact,both
dirk nowitzki,2157000.0,2002.0,1779.0,186.0,755.0,145.0,76.0,Exact,both
danny granger,2329805.0,2009.0,1728.0,183.0,341.0,165.0,67.0,Exact,both
al jefferson,2480885.0,2008.0,1726.0,117.0,911.0,167.0,82.0,Exact,both
devin booker,2223600.0,2017.0,1726.0,268.0,249.0,241.0,78.0,Exact,both
shawn marion,2265000.0,2003.0,1716.0,198.0,773.0,157.0,81.0,Exact,both
nikola jovic,2374960.0,2023.0,1690.0,678.0,817.0,247.0,69.0,Fuzzy,both
brook lopez,2413320.0,2011.0,1673.0,129.0,488.0,176.0,82.0,Exact,both
cj mccollum,2525160.0,2016.0,1666.0,341.0,259.0,196.0,80.0,Exact,both
khris middleton,1300000.0,2018.0,1652.0,328.0,429.0,191.0,82.0,Exact,both
michael jordan,1030000.0,2003.0,1640.0,311.0,497.0,173.0,82.0,Exact,both
monta ellis,770610.0,2008.0,1636.0,315.0,404.0,173.0,81.0,Exact,both
rudy gay,2411160.0,2008.0,1632.0,158.0,499.0,190.0,81.0,Exact,both
andre iguodala,2804889.0,2008.0,1630.0,391.0,446.0,214.0,82.0,Exact,both
zach randolph,1172000.0,2004.0,1626.0,163.0,851.0,247.0,81.0,Exact,both
ricky davis,2156000.0,2003.0,1626.0,436.0,390.0,277.0,79.0,Exact,both
jason terry,1579000.0,2001.0,1619.0,403.0,269.0,239.0,82.0,Exact,both
kevin martin,1002840.0,2007.0,1618.0,173.0,342.0,135.0,80.0,Exact,both
donovan mitchell,2621280.0,2018.0,1616.0,291.0,296.0,215.0,79.0,Exact,both
